Fecha de entrada,Fecha de salida,Nº noches,Gasto total (€),Nº personas,Reserva anticipada,Área de actucaravana
2024-05-22,2024-05-26,4,264,3,False,Puebla de Sanabria
2024-04-04,2024-04-10,6,492,2,True,Sopuerta
2024-05-06,2024-05-10,4,480,3,False,Frías
2024-04-03,2024-04-08,5,540,4,False,Culla
2024-10-23,2024-10-26,3,240,1,False,Pobladura del Valle
2024-01-22,2024-01-28,6,462,5,False,Morella
2024-03-07,2024-03-12,5,235,2,True,Gautegiz Arteaga
2024-05-10,2024-05-16,6,528,3,True,Bermeo
2024-01-27,2024-01-30,3,324,2,True,Gautegiz Arteaga
2024-03-03,2024-03-05,2,116,3,True,Puebla de Sanabria
2024-11-21,2024-11-22,1,77,4,True,Culla
2024-06-26,2024-06-29,3,273,3,True,Morella
2024-04-04,2024-04-07,3,189,4,False,Culla
2024-06-20,2024-06-24,4,456,3,False,Balmaseda
2024-12-15,2024-12-20,5,390,2,False,Culla
2024-08-18,2024-08-22,4,412,6,False,Lorca
2024-05-18,2024-05-24,6,246,3,True,Sopuerta
2024-08-26,2024-09-01,6,570,3,True,Sopuerta
2024-05-17,2024-05-24,7,287,4,False,Culla
2024-09-04,2024-09-08,4,324,3,True,Pobladura del Valle
2024-06-07,2024-06-13,6,546,5,False,Culla
2024-11-26,2024-11-27,1,49,4,True,Gautegiz Arteaga
2024-10-25,2024-10-30,5,350,1,False,Culla
2024-01-24,2024-01-26,2,216,1,True,Sopuerta
2024-01-09,2024-01-15,6,324,2,False,Culla
2024-01-27,2024-02-02,6,540,2,True,Balmaseda
2024-05-11,2024-05-17,6,696,1,True,La Seu d'Urgell
2024-02-03,2024-02-09,6,618,2,False,Baena
2024-11-06,2024-11-10,4,284,1,False,Culla
2024-05-24,2024-05-29,5,220,2,True,Culla
2024-04-23,2024-04-25,2,160,1,False,Gautegiz Arteaga
2024-06-20,2024-06-21,1,59,4,True,Gautegiz Arteaga
2024-04-20,2024-04-23,3,324,1,True,Bermeo
2024-10-07,2024-10-13,6,462,5,True,Frías
2024-03-23,2024-03-28,5,265,5,True,Pobladura del Valle
2024-09-27,2024-10-04,7,588,2,True,Lorca
2024-07-07,2024-07-08,1,114,3,False,Onda
2024-01-28,2024-02-01,4,184,5,True,Balmaseda
2024-05-06,2024-05-08,2,212,5,True,Balmaseda
2024-12-06,2024-12-12,6,348,5,True,Gautegiz Arteaga
2024-10-21,2024-10-25,4,252,6,True,Gautegiz Arteaga
2024-08-07,2024-08-14,7,763,5,False,Balmaseda
2024-11-11,2024-11-18,7,455,6,False,Gautegiz Arteaga
2024-09-08,2024-09-09,1,52,2,False,Sopuerta
2024-04-29,2024-05-04,5,420,3,True,Gautegiz Arteaga
2024-08-12,2024-08-19,7,798,3,True,La Seu d'Urgell
2024-05-22,2024-05-26,4,432,6,True,Frías
2024-10-25,2024-10-30,5,415,2,False,Bermeo
2024-03-16,2024-03-18,2,136,3,True,Culla
2024-02-08,2024-02-11,3,357,1,False,Sopuerta
2024-08-07,2024-08-14,7,609,3,False,Bermeo
2024-12-30,2025-01-05,6,390,1,True,Gautegiz Arteaga
2024-12-05,2024-12-12,7,791,2,False,Lorca
2024-07-09,2024-07-10,1,55,3,False,Frías
2024-06-21,2024-06-26,5,425,2,False,La Seu d'Urgell
2024-04-01,2024-04-06,5,485,5,True,Lorca
2024-07-04,2024-07-11,7,560,2,True,Pobladura del Valle
2024-02-01,2024-02-06,5,370,5,False,Lorca
2024-12-03,2024-12-06,3,243,4,False,Baena
2024-03-09,2024-03-13,4,412,6,True,Lorca
2024-07-31,2024-08-01,1,96,6,True,Frías
2024-05-06,2024-05-08,2,176,5,False,Bermeo
2024-08-17,2024-08-21,4,220,5,True,Puebla de Sanabria
2024-08-31,2024-09-02,2,152,1,True,Sopuerta
2024-10-28,2024-10-31,3,156,2,True,Frías
2024-10-21,2024-10-23,2,144,6,True,Culla
2024-01-27,2024-02-02,6,270,1,True,Sopuerta
2024-05-04,2024-05-06,2,146,2,False,Puebla de Sanabria
2024-06-10,2024-06-11,1,104,5,True,Onda
2024-07-02,2024-07-09,7,406,5,True,Onda
2024-08-04,2024-08-09,5,540,1,True,Frías
2024-12-27,2024-12-31,4,408,3,True,Bermeo
2024-05-16,2024-05-21,5,340,2,False,Culla
2024-04-14,2024-04-19,5,280,5,False,Baena
2024-01-05,2024-01-12,7,343,5,True,La Seu d'Urgell
2024-01-08,2024-01-13,5,570,5,False,Puebla de Sanabria
2024-09-02,2024-09-09,7,455,5,False,Morella
2024-05-15,2024-05-16,1,90,2,False,Onda
2024-08-11,2024-08-18,7,560,6,True,Sopuerta
2024-01-13,2024-01-17,4,384,1,False,Culla
2024-08-09,2024-08-15,6,450,2,True,Morella
2024-06-24,2024-06-28,4,160,6,True,Sopuerta
2024-02-03,2024-02-08,5,300,4,True,La Seu d'Urgell
2024-08-05,2024-08-11,6,438,2,True,Frías
2024-03-20,2024-03-25,5,225,1,False,Culla
2024-12-26,2025-01-02,7,784,4,False,Culla
2024-05-24,2024-05-31,7,819,5,True,Pobladura del Valle
2024-11-19,2024-11-23,4,208,2,False,Bermeo
2024-03-04,2024-03-08,4,440,4,True,Culla
2024-01-21,2024-01-24,3,174,6,False,Onda
2024-06-07,2024-06-10,3,207,3,False,Morella
2024-11-21,2024-11-23,2,162,4,True,Morella
2024-02-18,2024-02-22,4,268,2,True,Lorca
2024-12-25,2024-12-28,3,294,1,True,Culla
