Fecha de entrada,Fecha de salida,Nº noches,Gasto total (€),Nº personas,Reserva anticipada,Área de actucaravana
2023-10-11,2023-10-14,3,225,2,False,Pobladura del Valle
2023-04-30,2023-05-04,4,228,2,False,La Seu d'Urgell
2023-04-29,2023-04-30,1,42,2,True,Culla
2023-03-20,2023-03-25,5,225,1,False,Lorca
2023-01-05,2023-01-07,2,168,1,False,Onda
2023-06-09,2023-06-16,7,637,3,True,Gautegiz Arteaga
2023-01-18,2023-01-19,1,107,4,True,Sopuerta
2023-03-06,2023-03-13,7,700,5,False,Pobladura del Valle
2023-05-25,2023-05-27,2,208,5,True,Morella
2023-03-09,2023-03-11,2,222,2,False,La Seu d'Urgell
2023-06-28,2023-07-02,4,328,1,True,Bermeo
2023-02-22,2023-02-28,6,570,6,False,Baena
2023-11-10,2023-11-12,2,82,5,True,Pobladura del Valle
2023-06-02,2023-06-04,2,202,2,True,Gautegiz Arteaga
2023-01-16,2023-01-18,2,82,5,False,Onda
2023-08-01,2023-08-06,5,465,3,True,Onda
2023-02-02,2023-02-04,2,118,3,True,Culla
2023-08-30,2023-08-31,1,113,1,False,Puebla de Sanabria
2023-11-06,2023-11-13,7,525,6,False,La Seu d'Urgell
2023-12-10,2023-12-14,4,228,1,True,Culla
2023-04-17,2023-04-19,2,122,3,False,Sopuerta
2023-10-12,2023-10-17,5,385,2,True,Balmaseda
2023-05-28,2023-05-29,1,67,3,True,Culla
2023-05-04,2023-05-09,5,585,5,True,Balmaseda
2023-02-13,2023-02-18,5,580,1,False,Gautegiz Arteaga
2023-03-16,2023-03-22,6,564,3,True,La Seu d'Urgell
2023-03-07,2023-03-11,4,396,1,False,Baena
2023-12-15,2023-12-19,4,240,6,True,Balmaseda
2023-05-16,2023-05-22,6,366,3,False,Pobladura del Valle
2023-11-23,2023-11-29,6,348,3,True,Lorca
2023-05-10,2023-05-12,2,228,5,True,Frías
2023-01-31,2023-02-02,2,82,6,True,La Seu d'Urgell
2023-04-20,2023-04-22,2,168,4,False,Onda
2023-01-23,2023-01-30,7,721,4,False,Gautegiz Arteaga
2023-03-07,2023-03-14,7,399,2,True,Lorca
2023-10-29,2023-11-01,3,345,1,False,Morella
2023-10-19,2023-10-22,3,285,1,False,Gautegiz Arteaga
2023-04-22,2023-04-26,4,244,1,False,Baena
2023-07-03,2023-07-04,1,110,6,False,Puebla de Sanabria
2023-07-10,2023-07-15,5,415,5,True,Morella
2023-03-14,2023-03-21,7,728,4,True,Gautegiz Arteaga
2023-11-28,2023-12-03,5,290,6,True,Frías
2023-02-25,2023-03-02,5,475,6,False,Gautegiz Arteaga
2023-06-30,2023-07-01,1,92,1,True,La Seu d'Urgell
2023-10-21,2023-10-24,3,231,4,False,Morella
2023-10-20,2023-10-21,1,45,6,False,Frías
2023-10-31,2023-11-02,2,160,6,False,Onda
2023-10-20,2023-10-22,2,106,4,True,La Seu d'Urgell
2023-11-08,2023-11-09,1,92,2,True,Baena
2023-10-08,2023-10-14,6,570,2,True,Pobladura del Valle
2023-08-27,2023-08-29,2,82,2,False,Onda
2023-02-22,2023-02-28,6,486,3,True,Lorca
2023-11-05,2023-11-11,6,636,3,False,Sopuerta
2023-07-18,2023-07-23,5,280,3,False,Balmaseda
2023-11-10,2023-11-17,7,707,5,False,Morella
2023-03-06,2023-03-07,1,111,3,True,Sopuerta
2023-09-07,2023-09-09,2,106,6,False,Balmaseda
2023-10-21,2023-10-23,2,170,3,False,La Seu d'Urgell
2023-05-15,2023-05-19,4,408,1,False,Puebla de Sanabria
2023-08-20,2023-08-25,5,390,1,False,La Seu d'Urgell
2023-12-25,2023-12-27,2,156,1,False,Frías
2023-10-24,2023-10-28,4,360,6,True,Gautegiz Arteaga
2023-08-18,2023-08-19,1,101,5,True,Bermeo
2023-07-06,2023-07-13,7,392,6,True,Puebla de Sanabria
2023-02-23,2023-02-26,3,180,1,False,Frías
2023-10-10,2023-10-12,2,92,2,False,Sopuerta
2023-01-02,2023-01-07,5,445,4,True,Culla
2023-02-14,2023-02-19,5,490,6,True,Pobladura del Valle
2023-03-27,2023-04-03,7,833,1,True,Balmaseda
2023-11-04,2023-11-06,2,150,5,False,Baena
2023-06-24,2023-06-30,6,438,5,True,Lorca
2023-09-12,2023-09-19,7,609,5,True,Sopuerta
2023-10-29,2023-11-05,7,455,2,False,La Seu d'Urgell
2023-02-21,2023-02-25,4,280,5,False,Sopuerta
2023-10-24,2023-10-29,5,415,3,True,Bermeo
2023-09-20,2023-09-21,1,62,6,False,Pobladura del Valle
2023-11-26,2023-11-29,3,123,2,True,Sopuerta
2023-09-08,2023-09-15,7,378,6,False,La Seu d'Urgell
2023-04-07,2023-04-13,6,414,3,True,Morella
2023-07-13,2023-07-15,2,210,2,True,Bermeo
2023-06-10,2023-06-17,7,560,5,False,Puebla de Sanabria
2023-01-14,2023-01-17,3,141,6,True,Balmaseda
