Fecha de entrada,Fecha de salida,Nº noches,Gasto total (€),Nº personas,Reserva anticipada,Área de actucaravana
2021-11-26,2021-11-28,2,110,3,True,Baena
2021-05-12,2021-05-15,3,201,5,False,Baena
2021-10-11,2021-10-12,1,92,4,False,Puebla de Sanabria
2021-08-08,2021-08-10,2,118,2,True,Frías
2021-06-04,2021-06-11,7,609,1,False,Balmaseda
2021-06-18,2021-06-20,2,200,4,False,Morella
2021-11-01,2021-11-05,4,180,4,True,Frías
2021-10-17,2021-10-19,2,226,6,False,La Seu d'Urgell
2021-06-22,2021-06-27,5,365,3,False,La Seu d'Urgell
2021-06-16,2021-06-22,6,240,5,True,Morella
2021-02-14,2021-02-16,2,184,1,False,Lorca
2021-08-11,2021-08-14,3,360,2,True,Baena
2021-07-22,2021-07-25,3,132,6,False,Lorca
2021-03-14,2021-03-21,7,336,5,False,Gautegiz Arteaga
2021-08-02,2021-08-09,7,672,3,False,Pobladura del Valle
2021-08-16,2021-08-20,4,412,3,False,Baena
2021-01-19,2021-01-22,3,336,2,True,Baena
2021-05-07,2021-05-08,1,83,1,False,La Seu d'Urgell
2021-03-08,2021-03-10,2,108,1,True,Puebla de Sanabria
2021-02-25,2021-03-01,4,324,1,False,Sopuerta
2021-03-04,2021-03-11,7,280,3,False,Sopuerta
2021-08-15,2021-08-16,1,45,3,False,Onda
2021-11-11,2021-11-15,4,292,3,True,Baena
2021-03-03,2021-03-10,7,343,3,False,Sopuerta
2021-06-08,2021-06-10,2,188,2,False,Bermeo
2021-05-01,2021-05-03,2,124,3,False,Puebla de Sanabria
2021-03-07,2021-03-14,7,791,5,True,Morella
2021-02-27,2021-02-28,1,54,3,True,Gautegiz Arteaga
2021-03-02,2021-03-07,5,230,1,True,Pobladura del Valle
2021-01-04,2021-01-08,4,476,2,False,Lorca
2021-06-01,2021-06-05,4,288,4,False,Onda
2021-10-26,2021-10-29,3,285,5,True,Culla
2021-07-08,2021-07-15,7,763,3,True,Culla
2021-01-22,2021-01-24,2,140,1,False,Culla
2021-05-25,2021-05-28,3,333,3,False,Puebla de Sanabria
2021-11-16,2021-11-22,6,270,5,False,Puebla de Sanabria
2021-04-04,2021-04-11,7,476,1,False,Culla
2021-06-11,2021-06-15,4,160,6,False,Morella
2021-08-06,2021-08-10,4,392,4,True,Bermeo
2021-11-15,2021-11-21,6,474,3,True,Pobladura del Valle
2021-04-12,2021-04-13,1,119,5,False,Frías
2021-02-28,2021-03-02,2,120,2,True,Lorca
2021-05-09,2021-05-13,4,324,3,True,Bermeo
2021-08-15,2021-08-22,7,364,2,False,Culla
2021-06-06,2021-06-13,7,770,2,True,Culla
2021-02-10,2021-02-14,4,308,1,True,Morella
2021-05-30,2021-06-06,7,420,4,False,Gautegiz Arteaga
2021-11-21,2021-11-25,4,208,5,False,Baena
2021-03-17,2021-03-20,3,255,6,True,La Seu d'Urgell
2021-04-25,2021-04-27,2,98,6,False,Onda
2021-06-04,2021-06-07,3,162,1,True,Pobladura del Valle
2021-04-04,2021-04-09,5,530,3,True,Pobladura del Valle
2021-07-18,2021-07-19,1,79,6,False,Lorca
2021-07-24,2021-07-26,2,154,4,True,Balmaseda
2021-04-24,2021-04-25,1,51,2,False,Pobladura del Valle
2021-04-30,2021-05-07,7,476,3,False,Lorca
2021-09-24,2021-10-01,7,770,1,False,Sopuerta
2021-02-24,2021-03-01,5,220,4,True,Balmaseda
2021-02-11,2021-02-12,1,111,2,False,Morella
2021-06-29,2021-07-04,5,210,2,False,Puebla de Sanabria
2021-11-18,2021-11-20,2,176,5,False,Frías
2021-05-20,2021-05-25,5,530,2,False,Balmaseda
2021-06-16,2021-06-21,5,550,4,False,Balmaseda
2021-02-28,2021-03-06,6,636,6,False,Pobladura del Valle
2021-03-29,2021-04-03,5,430,3,True,Morella
2021-11-28,2021-11-30,2,192,6,True,Morella
2021-08-11,2021-08-15,4,252,3,True,Gautegiz Arteaga
2021-10-23,2021-10-29,6,366,1,False,Pobladura del Valle
2021-02-23,2021-03-02,7,392,1,False,Lorca
2021-05-22,2021-05-27,5,495,6,False,Sopuerta
2021-05-09,2021-05-16,7,595,6,False,Culla
2021-05-13,2021-05-20,7,700,4,True,Puebla de Sanabria
2021-03-10,2021-03-17,7,539,2,True,Onda
2021-01-30,2021-02-06,7,714,3,True,Onda
2021-06-17,2021-06-23,6,690,1,True,Culla
2021-01-22,2021-01-28,6,336,2,False,Balmaseda
2021-03-14,2021-03-15,1,96,6,False,Baena
2021-09-25,2021-10-01,6,276,6,True,Morella
2021-03-15,2021-03-18,3,228,6,True,Puebla de Sanabria
2021-07-17,2021-07-20,3,240,2,True,Baena
2021-08-31,2021-09-05,5,330,3,False,Lorca
2021-07-29,2021-08-04,6,282,4,True,Puebla de Sanabria
2021-08-28,2021-09-01,4,304,5,True,Bermeo
2021-01-05,2021-01-12,7,504,3,True,Puebla de Sanabria
2021-06-30,2021-07-05,5,595,3,False,Puebla de Sanabria
2021-11-16,2021-11-23,7,532,3,True,La Seu d'Urgell
2021-06-14,2021-06-16,2,234,3,False,Frías
2021-06-30,2021-07-02,2,210,1,False,Onda
2021-01-28,2021-02-02,5,260,4,True,Culla
2021-11-03,2021-11-10,7,378,1,False,Culla
2021-01-02,2021-01-09,7,693,5,False,Puebla de Sanabria
2021-04-12,2021-04-16,4,432,2,True,Culla
2021-01-02,2021-01-09,7,581,3,False,Onda
2021-07-17,2021-07-19,2,218,1,True,Baena
2021-06-11,2021-06-13,2,168,2,False,Culla
2021-02-18,2021-02-22,4,340,3,False,La Seu d'Urgell
2021-01-26,2021-01-30,4,256,5,False,Sopuerta
2021-12-14,2021-12-17,3,237,3,True,Sopuerta
2021-04-17,2021-04-21,4,256,5,True,Balmaseda
2021-10-18,2021-10-23,5,550,4,True,Sopuerta
2021-06-13,2021-06-15,2,144,3,True,Balmaseda
2021-03-03,2021-03-09,6,294,3,True,Sopuerta
2021-09-19,2021-09-26,7,406,3,True,Lorca
2021-08-17,2021-08-21,4,328,3,False,La Seu d'Urgell
2021-02-27,2021-03-04,5,340,2,True,Pobladura del Valle
2021-08-21,2021-08-23,2,138,1,False,Onda
2021-12-15,2021-12-18,3,276,6,True,Sopuerta
2021-04-07,2021-04-14,7,378,2,False,Gautegiz Arteaga
2021-05-09,2021-05-13,4,392,1,False,Morella
2021-09-17,2021-09-23,6,258,5,False,Culla
2021-07-14,2021-07-21,7,497,2,True,Sopuerta
2021-12-24,2021-12-28,4,360,3,False,Sopuerta
2021-10-22,2021-10-27,5,365,6,False,Pobladura del Valle
2021-01-25,2021-01-30,5,525,4,True,Morella
2021-12-11,2021-12-16,5,525,2,False,Culla
2021-10-12,2021-10-18,6,288,3,False,Pobladura del Valle
2021-02-01,2021-02-08,7,819,1,True,Gautegiz Arteaga
2021-12-17,2021-12-23,6,240,3,True,Puebla de Sanabria
2021-05-02,2021-05-03,1,90,4,False,Gautegiz Arteaga
2021-05-14,2021-05-21,7,560,5,False,Frías
2021-08-26,2021-08-29,3,159,2,False,Gautegiz Arteaga
2021-05-03,2021-05-04,1,113,5,True,Gautegiz Arteaga
2021-10-16,2021-10-17,1,73,3,True,Lorca
2021-12-07,2021-12-12,5,270,1,False,Morella
2021-05-08,2021-05-11,3,192,1,True,Morella
2021-08-13,2021-08-15,2,120,4,False,Lorca
2021-03-25,2021-03-29,4,164,4,False,Balmaseda
2021-05-08,2021-05-15,7,812,6,True,Culla
2021-09-05,2021-09-07,2,88,4,True,Onda
2021-03-03,2021-03-09,6,294,4,True,La Seu d'Urgell
2021-11-23,2021-11-25,2,90,5,False,Gautegiz Arteaga
2021-05-01,2021-05-07,6,312,6,False,Gautegiz Arteaga
2021-05-20,2021-05-25,5,265,6,False,Puebla de Sanabria
2021-07-06,2021-07-08,2,92,6,False,Balmaseda
2021-04-13,2021-04-16,3,342,2,True,Puebla de Sanabria
2021-03-15,2021-03-18,3,183,1,True,Lorca
2021-03-05,2021-03-09,4,368,3,False,Baena
2021-06-12,2021-06-13,1,59,4,False,Frías
