Fecha de entrada,Fecha de salida,Nº noches,Gasto total (€),Nº personas,Reserva anticipada,Área de actucaravana
2020-02-24,2020-03-02,7,609,2,False,Baena
2020-04-21,2020-04-25,4,412,3,True,Lorca
2020-12-01,2020-12-04,3,240,6,True,Pobladura del Valle
2020-09-08,2020-09-14,6,342,5,False,Lorca
2020-05-21,2020-05-23,2,234,4,False,Morella
2020-05-03,2020-05-07,4,364,5,True,Puebla de Sanabria
2020-10-24,2020-10-25,1,105,2,True,Baena
2020-03-30,2020-03-31,1,73,5,False,Culla
2020-09-08,2020-09-15,7,420,5,False,Balmaseda
2020-11-14,2020-11-18,4,252,3,True,Onda
2020-02-18,2020-02-22,4,412,4,False,Gautegiz Arteaga
2020-01-05,2020-01-10,5,265,6,False,Onda
2020-09-14,2020-09-21,7,777,3,True,La Seu d'Urgell
2020-06-03,2020-06-09,6,546,5,False,Baena
2020-04-09,2020-04-11,2,168,2,False,Pobladura del Valle
2020-01-30,2020-02-06,7,819,6,True,Balmaseda
2020-02-27,2020-02-29,2,148,6,True,Balmaseda
2020-06-27,2020-07-03,6,468,5,True,Morella
2020-11-02,2020-11-08,6,546,4,False,Bermeo
2020-03-22,2020-03-24,2,206,2,True,Pobladura del Valle
2020-07-02,2020-07-03,1,82,3,True,Bermeo
2020-04-06,2020-04-09,3,276,6,False,Pobladura del Valle
2020-06-05,2020-06-08,3,318,4,True,Culla
2020-11-15,2020-11-19,4,328,6,False,Gautegiz Arteaga
2020-08-23,2020-08-27,4,256,4,False,La Seu d'Urgell
2020-12-16,2020-12-17,1,51,1,False,La Seu d'Urgell
2020-08-01,2020-08-04,3,288,1,True,Bermeo
2020-05-25,2020-05-30,5,575,3,True,Sopuerta
2020-11-04,2020-11-06,2,162,6,False,Sopuerta
2020-01-30,2020-01-31,1,75,4,True,Sopuerta
2020-07-14,2020-07-17,3,321,1,True,La Seu d'Urgell
2020-05-10,2020-05-12,2,194,6,True,Sopuerta
2020-04-17,2020-04-18,1,51,3,False,Puebla de Sanabria
2020-08-08,2020-08-10,2,88,6,False,Onda
2020-04-30,2020-05-04,4,188,3,False,Balmaseda
2020-10-26,2020-10-27,1,104,2,True,Sopuerta
2020-08-05,2020-08-10,5,420,4,True,Lorca
2020-07-05,2020-07-07,2,82,2,False,Onda
2020-05-04,2020-05-10,6,402,6,True,Gautegiz Arteaga
2020-03-20,2020-03-22,2,212,2,True,Gautegiz Arteaga
2020-10-06,2020-10-11,5,290,6,True,Gautegiz Arteaga
2020-05-18,2020-05-22,4,160,1,True,Puebla de Sanabria
2020-05-22,2020-05-28,6,576,6,False,Balmaseda
2020-08-26,2020-08-29,3,219,1,True,Frías
2020-05-10,2020-05-12,2,182,4,True,Onda
2020-02-22,2020-02-26,4,216,3,False,Baena
2020-12-23,2020-12-29,6,300,6,False,La Seu d'Urgell
2020-05-05,2020-05-07,2,118,5,False,Baena
2020-08-25,2020-08-28,3,171,1,True,Bermeo
2020-10-11,2020-10-18,7,399,5,False,Culla
2020-06-13,2020-06-17,4,296,3,True,Balmaseda
2020-05-02,2020-05-07,5,405,2,True,La Seu d'Urgell
2020-10-26,2020-11-02,7,721,4,False,Pobladura del Valle
2020-12-17,2020-12-18,1,113,1,False,La Seu d'Urgell
2020-01-01,2020-01-05,4,164,1,True,Frías
2020-01-30,2020-02-03,4,188,4,True,Baena
2020-10-13,2020-10-19,6,432,4,False,Puebla de Sanabria
2020-04-17,2020-04-23,6,306,4,False,Pobladura del Valle
2020-04-13,2020-04-20,7,686,5,True,Culla
2020-07-26,2020-08-01,6,696,1,False,La Seu d'Urgell
2020-12-03,2020-12-06,3,126,6,True,Baena
2020-03-20,2020-03-22,2,240,3,False,Onda
2020-04-16,2020-04-23,7,735,4,False,Onda
2020-07-12,2020-07-14,2,198,5,True,Puebla de Sanabria
2020-06-21,2020-06-28,7,343,1,True,Balmaseda
2020-08-21,2020-08-28,7,504,6,True,Baena
2020-03-17,2020-03-21,4,188,6,True,La Seu d'Urgell
2020-09-22,2020-09-29,7,329,4,True,Culla
2020-08-02,2020-08-04,2,204,3,True,Lorca
2020-01-03,2020-01-05,2,222,6,False,Bermeo
2020-11-28,2020-11-29,1,83,5,True,Gautegiz Arteaga
2020-04-05,2020-04-06,1,112,4,False,Balmaseda
2020-08-02,2020-08-09,7,791,4,False,Pobladura del Valle
2020-08-19,2020-08-23,4,180,4,False,Baena
2020-11-05,2020-11-08,3,288,6,True,Bermeo
2020-09-05,2020-09-06,1,110,6,False,Puebla de Sanabria
2020-02-07,2020-02-08,1,87,1,False,Frías
2020-05-12,2020-05-14,2,180,5,False,Baena
2020-11-15,2020-11-18,3,153,6,False,Bermeo
2020-02-11,2020-02-16,5,365,3,True,Balmaseda
2020-08-20,2020-08-27,7,840,6,True,Morella
2020-06-19,2020-06-22,3,297,2,False,Bermeo
2020-04-27,2020-05-03,6,378,6,True,Gautegiz Arteaga
2020-07-12,2020-07-13,1,59,5,True,Frías
2020-04-24,2020-04-25,1,116,1,True,Baena
2020-05-03,2020-05-04,1,45,3,False,Frías
2020-04-15,2020-04-17,2,178,5,False,Culla
2020-05-08,2020-05-13,5,535,2,False,Baena
2020-02-20,2020-02-26,6,576,2,False,Lorca
2020-02-11,2020-02-18,7,420,5,False,Gautegiz Arteaga
2020-02-15,2020-02-18,3,276,4,False,Morella
2020-11-25,2020-11-30,5,205,2,True,Sopuerta
2020-10-21,2020-10-25,4,292,3,True,Lorca
2020-10-31,2020-11-07,7,315,6,True,Gautegiz Arteaga
2020-04-12,2020-04-16,4,168,5,True,Onda
2020-07-23,2020-07-28,5,325,3,True,Balmaseda
2020-01-28,2020-01-29,1,52,6,True,Culla
2020-06-23,2020-06-25,2,156,4,True,Onda
2020-11-03,2020-11-05,2,88,6,True,Pobladura del Valle
2020-08-23,2020-08-29,6,318,4,True,Culla
2020-09-13,2020-09-17,4,452,6,False,Bermeo
2020-11-08,2020-11-11,3,336,3,True,Morella
2020-08-31,2020-09-07,7,805,2,False,Baena
2020-06-27,2020-07-03,6,642,2,False,Bermeo
2020-05-08,2020-05-10,2,106,2,False,Lorca
2020-12-16,2020-12-17,1,66,5,True,Gautegiz Arteaga
2020-03-22,2020-03-24,2,218,6,True,Pobladura del Valle
2020-11-15,2020-11-19,4,380,3,False,Onda
2020-02-26,2020-02-28,2,104,3,False,Frías
2020-09-10,2020-09-11,1,50,6,True,Morella
2020-05-22,2020-05-24,2,180,5,False,Bermeo
2020-06-23,2020-06-24,1,96,4,False,Pobladura del Valle
2020-01-27,2020-01-31,4,440,2,False,Bermeo
2020-05-14,2020-05-21,7,686,1,False,Bermeo
2020-11-27,2020-11-29,2,224,4,False,Baena
2020-11-25,2020-12-01,6,684,5,True,Onda
2020-04-23,2020-04-25,2,234,6,True,Frías
2020-12-23,2020-12-29,6,378,5,True,Pobladura del Valle
2020-09-18,2020-09-24,6,588,4,True,Pobladura del Valle
2020-03-06,2020-03-10,4,336,2,False,Onda
2020-04-11,2020-04-17,6,558,1,True,Morella
2020-06-03,2020-06-04,1,61,1,False,Baena
2020-08-13,2020-08-18,5,225,3,True,Gautegiz Arteaga
2020-10-15,2020-10-16,1,91,2,True,Baena
2020-01-14,2020-01-16,2,146,1,True,Balmaseda
2020-02-11,2020-02-13,2,128,6,True,La Seu d'Urgell
2020-05-18,2020-05-22,4,200,4,False,Morella
2020-05-03,2020-05-09,6,624,4,True,Puebla de Sanabria
2020-05-13,2020-05-20,7,707,5,False,Pobladura del Valle
2020-10-23,2020-10-30,7,658,2,True,Lorca
2020-10-18,2020-10-23,5,510,3,False,Morella
2020-03-28,2020-04-03,6,330,4,False,Lorca
2020-07-13,2020-07-19,6,594,2,False,Sopuerta
2020-10-31,2020-11-04,4,432,5,True,Onda
2020-05-13,2020-05-14,1,74,5,True,Baena
2020-10-03,2020-10-08,5,245,6,True,Bermeo
2020-01-20,2020-01-27,7,539,6,True,Bermeo
2020-11-22,2020-11-25,3,147,2,False,Gautegiz Arteaga
2020-02-01,2020-02-03,2,142,2,False,Bermeo
2020-12-19,2020-12-25,6,348,4,True,La Seu d'Urgell
2020-09-15,2020-09-21,6,414,6,True,Morella
2020-05-11,2020-05-13,2,130,4,True,Morella
2020-07-30,2020-08-04,5,550,4,True,Sopuerta
2020-07-12,2020-07-17,5,500,5,False,Lorca
2020-10-16,2020-10-21,5,225,2,True,Lorca
2020-10-22,2020-10-28,6,408,2,False,Puebla de Sanabria
2020-11-08,2020-11-11,3,180,1,True,Culla
2020-09-04,2020-09-05,1,67,1,True,Baena
2020-08-08,2020-08-10,2,236,2,False,Puebla de Sanabria
2020-09-22,2020-09-24,2,138,6,True,Balmaseda
2020-09-21,2020-09-24,3,147,1,False,La Seu d'Urgell
2020-02-08,2020-02-12,4,304,6,False,Morella
2020-06-07,2020-06-09,2,94,2,True,Morella
2020-02-28,2020-03-01,2,88,4,False,Culla
2020-05-14,2020-05-18,4,416,5,False,Culla
2020-07-19,2020-07-22,3,159,2,False,Pobladura del Valle
2020-01-04,2020-01-08,4,240,6,True,Puebla de Sanabria
2020-02-27,2020-03-05,7,364,4,False,La Seu d'Urgell
2020-04-09,2020-04-11,2,122,2,True,Puebla de Sanabria
2020-01-10,2020-01-14,4,336,5,False,Bermeo
2020-06-10,2020-06-16,6,714,6,False,Onda
2020-04-07,2020-04-12,5,580,3,True,Gautegiz Arteaga
2020-01-19,2020-01-21,2,172,3,False,Gautegiz Arteaga
2020-08-18,2020-08-20,2,138,4,True,Pobladura del Valle
2020-01-22,2020-01-29,7,616,2,True,La Seu d'Urgell
2020-03-30,2020-04-01,2,190,3,True,Frías
2020-04-04,2020-04-11,7,399,4,True,Sopuerta
2020-05-29,2020-06-01,3,306,2,False,Balmaseda
2020-03-08,2020-03-10,2,180,1,True,Culla
2020-08-18,2020-08-20,2,214,3,True,Baena
2020-07-08,2020-07-12,4,232,3,False,Gautegiz Arteaga
2020-09-19,2020-09-22,3,273,1,True,Culla
2020-03-17,2020-03-21,4,276,3,False,Sopuerta
2020-01-22,2020-01-23,1,83,2,True,Puebla de Sanabria
2020-06-05,2020-06-09,4,184,1,True,Balmaseda
2020-02-19,2020-02-26,7,539,3,False,Pobladura del Valle
2020-09-19,2020-09-24,5,380,2,True,Pobladura del Valle
2020-10-14,2020-10-19,5,345,6,False,Lorca
2020-10-12,2020-10-17,5,515,2,True,Sopuerta
2020-08-10,2020-08-15,5,270,1,True,Pobladura del Valle
2020-07-17,2020-07-19,2,170,3,False,Gautegiz Arteaga
2020-12-07,2020-12-11,4,444,4,True,Gautegiz Arteaga
2020-08-16,2020-08-17,1,60,2,False,Culla
2020-03-12,2020-03-16,4,236,6,False,Lorca
2020-05-19,2020-05-22,3,345,2,True,Onda
2020-11-20,2020-11-24,4,200,4,True,Pobladura del Valle
2020-09-29,2020-10-03,4,204,4,True,Culla
2020-04-11,2020-04-13,2,190,3,True,Balmaseda
2020-02-07,2020-02-08,1,87,4,True,Frías
2020-09-23,2020-09-29,6,468,1,False,Bermeo
2020-10-19,2020-10-20,1,79,6,False,Frías
2020-11-22,2020-11-29,7,497,5,False,Frías
2020-12-30,2021-01-06,7,644,3,False,Lorca
2020-03-06,2020-03-12,6,492,1,True,Puebla de Sanabria
2020-06-30,2020-07-01,1,40,3,True,Sopuerta
2020-04-05,2020-04-06,1,93,1,True,Baena
2020-11-30,2020-12-02,2,218,4,True,Onda
2020-03-29,2020-03-31,2,124,5,False,La Seu d'Urgell
2020-04-08,2020-04-13,5,480,1,False,Bermeo
2020-03-04,2020-03-11,7,497,6,True,Balmaseda
2020-12-11,2020-12-17,6,450,1,True,Frías
2020-06-04,2020-06-07,3,237,1,True,La Seu d'Urgell
2020-12-16,2020-12-22,6,330,6,False,Gautegiz Arteaga
2020-07-26,2020-07-29,3,285,3,True,Morella
2020-08-18,2020-08-25,7,525,6,True,Pobladura del Valle
2020-12-21,2020-12-28,7,553,2,False,Balmaseda
2020-03-10,2020-03-13,3,246,5,True,Balmaseda
2020-11-04,2020-11-11,7,469,4,False,Pobladura del Valle
2020-08-26,2020-08-28,2,84,1,True,Pobladura del Valle
2020-12-14,2020-12-21,7,518,2,True,Pobladura del Valle
2020-05-17,2020-05-21,4,412,6,True,Frías
